name,n,W,area_LB,blf_height,blf_sort,blf_time,blf_gap_pct,exact_height,exact_status,exact_time,exact_gap_pct
bengtsson_1,20,28,134,151,width,0.0009859998244792223,12.686567164179104,148,OPTIMAL,18.173875300000002,10.44776119402985
bengtsson_2,30,38,247,273,width,0.01233000005595386,10.526315789473683,,SKIPPED,,
bengtsson_3,40,31,341,361,width,0.011969800107181072,5.865102639296188,,SKIPPED,,
bengtsson_4,50,31,401,449,width,0.00794279994443059,11.970074812967582,,SKIPPED,,
bengtsson_5,60,40,554,592,area,0.023894099984318018,6.859205776173286,,SKIPPED,,
bengtsson_6,80,39,793,834,width,0.07937990012578666,5.170239596469105,,SKIPPED,,
bengtsson_7,100,34,990,1035,width,0.09074379992671311,4.545454545454546,,SKIPPED,,
bengtsson_8,120,40,1361,1429,width,0.19816650007851422,4.996326230712711,,SKIPPED,,
bengtsson_9,150,38,1529,1602,width,0.22845719987526536,4.774362328319163,,SKIPPED,,
bengtsson_10,200,25,1441,1482,width,0.5283449999988079,2.8452463566967383,,SKIPPED,,
bw_c1_n20,20,10,45,46,height,0.0007090999279171228,2.2222222222222223,45,OPTIMAL,1.0594539,0.0
bw_c1_n40,40,10,120,127,width,0.009867200162261724,5.833333333333333,,SKIPPED,,
bw_c1_n60,60,10,175,179,width,0.016909300116822124,2.2857142857142856,,SKIPPED,,
bw_c1_n80,80,10,235,246,width,0.02692990005016327,4.680851063829787,,SKIPPED,,
bw_c1_n100,100,10,332,351,width,0.04341959999874234,5.72289156626506,,SKIPPED,,
bw_c2_n20,20,30,19,20,area,0.0011434999760240316,5.263157894736842,19,OPTIMAL,1.3753570000000002,0.0
bw_c2_n40,40,30,42,43,height,0.008681199979037046,2.380952380952381,,SKIPPED,,
bw_c2_n60,60,30,65,66,height,0.045631200075149536,1.5384615384615385,,SKIPPED,,
bw_c2_n80,80,30,79,80,height,0.08379739988595247,1.2658227848101267,,SKIPPED,,
bw_c2_n100,100,30,103,104,height,0.18099669995717704,0.9708737864077669,,SKIPPED,,
bw_c3_n20,20,40,174,199,perimeter,0.0009160998743027449,14.367816091954023,187,OPTIMAL,0.3849098,7.471264367816093
bw_c3_n40,40,40,342,382,area,0.003944899886846542,11.695906432748536,,SKIPPED,,
bw_c3_n60,60,40,451,478,perimeter,0.022435500053688884,5.986696230598669,,SKIPPED,,
bw_c3_n80,80,40,679,717,width,0.08129599993117154,5.596465390279824,,SKIPPED,,
bw_c3_n100,100,40,865,989,width,0.05916950013488531,14.335260115606937,,SKIPPED,,
bw_c4_n20,20,100,68,78,height,0.0014714000280946493,14.705882352941178,70,FEASIBLE,60.0637108,2.941176470588235
bw_c4_n40,40,100,142,152,height,0.013143599964678288,7.042253521126761,,SKIPPED,,
bw_c4_n60,60,100,237,252,height,0.067829699954018,6.329113924050633,,SKIPPED,,
bw_c4_n80,80,100,292,312,height,0.1574556000996381,6.8493150684931505,,SKIPPED,,
bw_c4_n100,100,100,353,364,height,0.43559090001508594,3.1161473087818696,,SKIPPED,,
bw_c5_n20,20,100,641,698,area,0.0009852000512182713,8.892355694227769,688,FEASIBLE,60.03322180000001,7.332293291731669
bw_c5_n40,40,100,911,1015,area,0.004838400054723024,11.416026344676181,,SKIPPED,,
bw_c5_n60,60,100,1554,1678,area,0.025207299971953034,7.979407979407979,,SKIPPED,,
bw_c5_n80,80,100,2237,2500,width,0.05510730016976595,11.756817165847117,,SKIPPED,,
bw_c5_n100,100,100,2619,2894,width,0.1380401998758316,10.500190912562047,,SKIPPED,,
bw_c6_n20,20,300,217,248,perimeter,0.0015771000180393457,14.285714285714285,223,FEASIBLE,60.02467910000001,2.7649769585253456
bw_c6_n40,40,300,365,411,area,0.01968490006402135,12.602739726027398,,SKIPPED,,
bw_c6_n60,60,300,453,513,height,0.0703350999392569,13.245033112582782,,SKIPPED,,
bw_c6_n80,80,300,700,750,perimeter,0.20638600015081465,7.142857142857142,,SKIPPED,,
bw_c6_n100,100,300,771,814,perimeter,0.44591189990751445,5.577172503242543,,SKIPPED,,
mv_c1_n20,20,10,45,46,height,0.0007633001077920198,2.2222222222222223,45,OPTIMAL,4.7015725,0.0
mv_c1_n40,40,10,120,127,width,0.0037299999967217445,5.833333333333333,,SKIPPED,,
mv_c1_n60,60,10,175,179,width,0.015926099848002195,2.2857142857142856,,SKIPPED,,
mv_c1_n80,80,10,235,246,width,0.02662640018388629,4.680851063829787,,SKIPPED,,
mv_c1_n100,100,10,332,351,width,0.04356499994173646,5.72289156626506,,SKIPPED,,
mv_c2_n20,20,30,131,153,width,0.0007247000467032194,16.793893129770993,151,OPTIMAL,0.2691598,15.267175572519085
mv_c2_n40,40,30,284,305,area,0.00476650008931756,7.394366197183098,,SKIPPED,,
mv_c2_n60,60,30,495,557,width,0.013832199852913618,12.525252525252526,,SKIPPED,,
mv_c2_n80,80,30,529,555,width,0.07487180014140904,4.914933837429111,,SKIPPED,,
mv_c2_n100,100,30,820,881,width,0.08648890000768006,7.439024390243902,,SKIPPED,,
mv_c3_n20,20,40,139,158,area,0.0010396998841315508,13.66906474820144,154,FEASIBLE,60.027518400000005,10.79136690647482
mv_c3_n40,40,40,288,350,width,0.007795099867507815,21.52777777777778,,SKIPPED,,
mv_c3_n60,60,40,430,501,width,0.020421299850568175,16.511627906976745,,SKIPPED,,
mv_c3_n80,80,40,553,624,perimeter,0.05583700002171099,12.839059674502712,,SKIPPED,,
mv_c3_n100,100,40,705,796,width,0.09986070008017123,12.907801418439716,,SKIPPED,,
mv_c4_n20,20,100,354,388,perimeter,0.0013702998403459787,9.6045197740113,367,FEASIBLE,60.043042400000004,3.672316384180791
mv_c4_n40,40,100,669,737,area,0.022014299873262644,10.164424514200299,,SKIPPED,,
